sample,measured_angle,simple_narx_simulation,advanced_gru_simulation,advanced_lstm_simulation
0,0.3895574890451343,0.3895574890451343,0.3895574890451343,0.3895574890451343
1,0.5277875658030853,0.5277875658030853,0.5277875658030853,0.5277875658030853
2,0.6000441968356505,0.6000441968356505,0.6000441968356505,0.6000441968356505
3,0.6000441968356505,0.6000441968356505,0.6000441968356505,0.6000441968356505
4,0.5372123437638546,0.5372123437638546,0.5372123437638546,0.5372123437638546
5,0.4209734155810323,0.4209734155810323,0.4209734155810323,0.4209734155810323
6,0.2670353755551324,0.2670353755551324,0.2670353755551324,0.2670353755551324
7,0.10681415022205297,0.10681415022205297,0.10681415022205297,0.10681415022205297
8,-0.053407075111026485,-0.053407075111026485,-0.053407075111026485,-0.053407075111026485
9,-0.18849555921538758,-0.18849555921538758,-0.18849555921538758,-0.18849555921538758
10,-0.2796017461694916,-0.2796017461694916,-0.2796017461694916,-0.2796017461694916
11,-0.3204424506661589,-0.3204424506661589,-0.3204424506661589,-0.3204424506661589
12,-0.31101767270538955,-0.31101767270538955,-0.31101767270538955,-0.31101767270538955
13,-0.257610597594363,-0.257610597594363,-0.257610597594363,-0.257610597594363
14,-0.16964600329384882,-0.16964600329384882,-0.16964600329384882,-0.16964600329384882
15,-0.06283185307179587,-0.06283185307179587,-0.06283185307179587,-0.06283185307179587
16,0.053407075111026485,0.053407075111026485,0.053407075111026485,0.053407075111026485
17,0.16336281798666927,0.16336281798666927,0.16336281798666927,0.16336281798666927
18,0.25446900494077324,0.25446900494077324,0.25446900494077324,0.25446900494077324
19,0.3204424506661589,0.3204424506661589,0.3204424506661589,0.3204424506661589
20,0.35499996985564664,0.35499996985564664,0.35499996985564664,0.35499996985564664
21,0.3612831551628262,0.3612831551628262,0.3612831551628262,0.3612831551628262
22,0.3424335992412874,0.3424335992412874,0.3424335992412874,0.3424335992412874
23,0.3078760800517997,0.3078760800517997,0.3078760800517997,0.3078760800517997
24,0.26389378290154264,0.26389378290154264,0.26389378290154264,0.26389378290154264
25,0.21362830044410594,0.21362830044410594,0.21362830044410594,0.21362830044410594
26,0.16022122533307945,0.16022122533307945,0.16022122533307945,0.16022122533307945
27,0.10367255756846318,0.10367255756846318,0.10367255756846318,0.10367255756846318
28,0.05026548245743669,0.05026548245743669,0.05026548245743669,0.05026548245743669
29,-0.006283185307179587,-0.006283185307179587,-0.006283185307179587,-0.006283185307179587
30,-0.06597344572538566,-0.06597344572538566,-0.06597344572538566,-0.06597344572538566
31,-0.1288052987971815,-0.1288052987971815,-0.1288052987971815,-0.1288052987971815
32,-0.19792033717615698,-0.19792033717615698,-0.19792033717615698,-0.19792033717615698
33,-0.2607521902479529,-0.2607521902479529,-0.2607521902479529,-0.2607521902479529
34,-0.31730085801256913,-0.31730085801256913,-0.31730085801256913,-0.31730085801256913
35,-0.3612831551628262,-0.3612831551628262,-0.3612831551628262,-0.3612831551628262
36,-0.3895574890451343,-0.3895574890451343,-0.3895574890451343,-0.3895574890451343
37,-0.39269908169872414,-0.39269908169872414,-0.39269908169872414,-0.39269908169872414
38,-0.3675663404700058,-0.3675663404700058,-0.3675663404700058,-0.3675663404700058
39,-0.3141592653589793,-0.3141592653589793,-0.3141592653589793,-0.3141592653589793
40,-0.2324778563656447,-0.2324778563656447,-0.2324778563656447,-0.2324778563656447
41,-0.11938052083641214,-0.11938052083641214,-0.11938052083641214,-0.11938052083641214
42,0.01884955592153876,0.01884955592153876,0.01884955592153876,0.01884955592153876
43,0.1759291886010284,0.1759291886010284,0.1759291886010284,0.1759291886010284
44,0.3361504139341079,0.3361504139341079,0.3361504139341079,0.3361504139341079
45,0.48694686130641796,0.48694686130641796,0.48694686130641796,0.48694686130641796
46,0.6220353454107791,0.6220353454107791,0.6220353454107791,0.6220353454107791
47,0.7288494956328321,0.7288494956328321,0.7288494956328321,0.7288494956328321
48,0.8011061266653973,0.8011061266653973,0.8011061266653973,0.8011061266653973
49,0.835663645854885,0.835663645854885,0.835663645854885,0.835663645854885
50,0.8325220532012952,0.8359276056289673,0.8340541124343872,0.8320614099502563
51,0.7979645340118074,0.7971467971801758,0.7999037504196167,0.7976518869400024
52,0.7319910882864218,0.7287663221359253,0.7375441789627075,0.7337586879730225
53,0.6440264939859076,0.637036919593811,0.6504005193710327,0.6452587842941284
54,0.5309291584566751,0.5280414819717407,0.5424972772598267,0.5369348526000977
55,0.41154863762026295,0.40690794587135315,0.418475478887558,0.41305193305015564
56,0.27646015351590175,0.2758605480194092,0.28277719020843506,0.2774186432361603
57,0.1350884841043611,0.1386348009109497,0.1391201913356781,0.1335471123456955
58,-0.012566370614359173,-0.004215475171804428,-0.009569637477397919,-0.015530318021774292
59,-0.15707963267948966,-0.1510952264070511,-0.16098922491073608,-0.16730599105358124
60,-0.3047344873982099,-0.30039605498313904,-0.31304633617401123,-0.31931382417678833
61,-0.44924774946334045,-0.44914522767066956,-0.4631735682487488,-0.4684630334377289
62,-0.5874778262212914,-0.591280460357666,-0.607730507850647,-0.610651969909668
63,-0.7194247176720626,-0.719346284866333,-0.7417362928390503,-0.7410333156585693
64,-0.8325220532012952,-0.823644757270813,-0.8588523864746094,-0.8544070720672607
65,-0.9236282401553992,-0.8951418399810791,-0.9514673948287964,-0.9437664747238159
66,-0.9833185005736053,-0.9251312017440796,-1.0112203359603882,-0.998779296875
67,-1.002168056495144,-0.9080860614776611,-1.029630184173584,-1.011938452720642
68,-0.9738937226128359,-0.8407300710678101,-0.9982854127883911,-0.9767096042633057
69,-0.8922123136195013,-0.7222509384155273,-0.9101370573043823,-0.8862471580505371
70,-0.7508406442079605,-0.5547939538955688,-0.7602013349533081,-0.7360703945159912
71,-0.546637121724624,-0.343477338552475,-0.5489070415496826,-0.527519702911377
72,-0.29530970943744056,-0.09813104569911957,-0.28474733233451843,-0.2693599760532379
73,-0.00942477796076938,0.16608236730098724,0.015176599845290184,0.022912485525012016
74,0.29530970943744056,0.42751947045326233,0.3265129029750824,0.3263733386993408
75,0.5874778262212914,0.6607723236083984,0.6213196516036987,0.6128067970275879
76,0.835663645854885,0.8426392078399658,0.8729356527328491,0.859872579574585
77,1.0241592050702726,0.9574904441833496,1.061893343925476,1.048410177230835
78,1.1435397259066846,0.9985150098800659,1.1773370504379272,1.1617838144302368
79,1.1812388377497622,0.9648023843765259,1.210978388786316,1.196387529373169
80,1.1341149479459152,0.8593778610229492,1.1611080169677734,1.147584319114685
81,1.0084512418023235,0.6888014078140259,1.0280522108078003,1.0156062841415405
82,0.8011061266653973,0.46413713693618774,0.8188602924346924,0.8075095415115356
83,0.5372123437638546,0.2016679048538208,0.5474158525466919,0.5369155406951904
84,0.2293362637120549,-0.0768975168466568,0.23395892977714539,0.2244451344013214
85,-0.08482300164692441,-0.3459542989730835,-0.09497182071208954,-0.10267682373523712
86,-0.3895574890451343,-0.5804464817047119,-0.40939024090766907,-0.41498109698295593
87,-0.6597344572538566,-0.7609961032867432,-0.6827009916305542,-0.6875038146972656
88,-0.8702211650443727,-0.8768520355224609,-0.8975597620010376,-0.899945855140686
89,-1.0147344271095031,-0.9250079393386841,-1.0442603826522827,-1.0419989824295044
90,-1.0838494654884787,-0.9077115058898926,-1.1182634830474854,-1.1129264831542969
91,-1.0869910581420683,-0.8307496309280396,-1.120383620262146,-1.1111637353897095
92,-1.0210176124166828,-0.7028719186782837,-1.0552361011505127,-1.040757179260254
93,-0.8953539062730911,-0.535285234451294,-0.9274239540100098,-0.9079183340072632
94,-0.7162831250184728,-0.3404519557952881,-0.7432016134262085,-0.7199826240539551
95,-0.4900884539600077,-0.13106516003608704,-0.513221263885498,-0.4882526099681854
96,-0.23561944901923448,0.08043421059846878,-0.25241002440452576,-0.22750809788703918
97,0.02827433388230814,0.28215542435646057,0.022529684007167816,0.046045251190662384
98,0.289026524130261,0.46349820494651794,0.29422691464424133,0.31403300166130066
99,0.5340707511102648,0.6160684823989868,0.5435349941253662,0.5575006008148193
100,0.7414158662471911,0.7341828346252441,0.7587999105453491,0.7657822370529175
101,0.91106186954104,0.8149510622024536,0.9309549331665039,0.9312471151351929
102,1.0273007977238624,0.8579174280166626,1.053406834602356,1.0454119443893433
103,1.093274243449248,0.8643767833709717,1.122918725013733,1.1072994470596313
104,1.105840614063607,0.8365869522094727,1.138122797012329,1.1178992986679077
105,1.0681415022205296,0.7773033380508423,1.1016782522201538,1.0773775577545166
106,0.9801769079200154,0.6897978782653809,1.0151351690292358,0.9869471788406372
107,0.8419468311620646,0.5781193971633911,0.8801596164703369,0.8498321771621704
108,0.669159235214626,0.4473092555999756,0.702580451965332,0.6722135543823242
109,0.4586725274241098,0.30347537994384766,0.49243003129959106,0.46354666352272034
110,0.23876104167282428,0.153845876455307,0.26325568556785583,0.23672103881835938
111,0.012566370614359173,0.006709428504109383,0.03148242086172104,0.008369211107492447
112,-0.19792033717615698,-0.12899693846702576,-0.1850285679101944,-0.20307880640029907
113,-0.37070793312359557,-0.24457290768623352,-0.36935654282569885,-0.38084161281585693
114,-0.5026548245743669,-0.3327065110206604,-0.5077003240585327,-0.5124425888061523
115,-0.578053048260522,-0.38846275210380554,-0.590855598449707,-0.5898703336715698
116,-0.6000441968356505,-0.40982115268707275,-0.615633487701416,-0.6099133491516113
117,-0.5654866776461628,-0.3977300226688385,-0.5856034755706787,-0.5764304399490356
118,-0.48694686130641796,-0.3558576703071594,-0.5088741779327393,-0.49686554074287415
119,-0.37070793312359557,-0.2901861369609833,-0.39577099680900574,-0.381191223859787
120,-0.23561944901923448,-0.20847415924072266,-0.2589902877807617,-0.24260708689689636
121,-0.09110618695410401,-0.11954151093959808,-0.11341850459575653,-0.0968220978975296
122,0.047123889803846894,-0.03234952688217163,0.025643229484558105,0.04085762798786163
123,0.16336281798666927,0.04502556473016739,0.1443290114402771,0.15741951763629913
124,0.24504422698000386,0.10632409155368805,0.23108914494514465,0.2415120154619217
125,0.289026524130261,0.14770516753196716,0.2797796428203583,0.2867974042892456
126,0.29530970943744056,0.16791664063930511,0.2900550067424774,0.2944256365299225
127,0.2701769682087222,0.1680852323770523,0.26722756028175354,0.269811749458313
128,0.21991148575128552,0.15123167634010315,0.22011396288871765,0.22006629407405853
129,0.15393804002589986,0.12158132344484329,0.1568271666765213,0.15355761349201202
130,0.07853981633974483,0.0837426632642746,0.08550138771533966,0.07936760783195496
131,0.006283185307179587,0.04190116003155708,0.014277825132012367,0.0059333741664886475
132,-0.05969026041820607,-0.000779028981924057,-0.050017669796943665,-0.06000930070877075
133,-0.11309733552923255,-0.042412251234054565,-0.10305216908454895,-0.11368824541568756
134,-0.15393804002589986,-0.08230523020029068,-0.14327813684940338,-0.15265114605426788
135,-0.1759291886010284,-0.12061843276023865,-0.17141544818878174,-0.17727915942668915
136,-0.1916371518689774,-0.15785111486911774,-0.18959754705429077,-0.19019420444965363
137,-0.19477874452256716,-0.19420497119426727,-0.20029301941394806,-0.19476790726184845
138,-0.1916371518689774,-0.2289251983165741,-0.20525476336479187,-0.1938677728176117
139,-0.1916371518689774,-0.2597920000553131,-0.20487670600414276,-0.18896415829658508
140,-0.1916371518689774,-0.2829385995864868,-0.19800378382205963,-0.17968180775642395
141,-0.18221237390820802,-0.2931036055088043,-0.18213768303394318,-0.16385534405708313
142,-0.16336281798666927,-0.28431811928749084,-0.1539277285337448,-0.13792924582958221
143,-0.12252211349000193,-0.2508948743343353,-0.10982872545719147,-0.09759005904197693
144,-0.06597344572538566,-0.18851768970489502,-0.04694999009370804,-0.03884786367416382
145,0.015707963267948967,-0.0953051745891571,0.03584650531411171,0.04035206884145737
146,0.11623892818282235,0.027140401303768158,0.1367582082748413,0.13855977356433868
147,0.2324778563656447,0.17273564636707306,0.25015997886657715,0.25000977516174316
148,0.34871678454846705,0.3303300142288208,0.36640873551368713,0.3651477098464966
149,0.4586725274241098,0.484231561422348,0.47254854440689087,0.4717661440372467
150,0.5434955290710342,0.616356611251831,0.5543621778488159,0.5543899536132812
151,0.5937610115284709,0.7095154523849487,0.5985724925994873,0.597989559173584
152,0.5937610115284709,0.7502560615539551,0.5939444303512573,0.5938024520874023
153,0.5434955290710342,0.7299591302871704,0.5361496210098267,0.5365701913833618
154,0.43353978619539146,0.6445584297180176,0.42255184054374695,0.4242114722728729
155,0.273318560862312,0.49445512890815735,0.25441670417785645,0.2592323422431946
156,0.06283185307179587,0.28573712706565857,0.04262200742959976,0.05062421038746834
157,-0.17278759594743864,0.03247065097093582,-0.19492961466312408,-0.18475230038166046
158,-0.40840704496667307,-0.24173498153686523,-0.4360579252243042,-0.42390328645706177
159,-0.6251769380643689,-0.5057847499847412,-0.6569113731384277,-0.642677903175354
160,-0.8042477193189871,-0.7280652523040771,-0.8354461193084717,-0.8192119598388672
161,-0.9236282401553992,-0.8847379684448242,-0.9536780118942261,-0.9357768297195435
162,-0.9738937226128359,-0.9632532596588135,-0.9974826574325562,-0.9812005758285522
163,-0.9424777960769379,-0.9598063230514526,-0.9613429307937622,-0.9472405910491943
164,-0.835663645854885,-0.8754388093948364,-0.8456662893295288,-0.834058403968811
165,-0.6503096792930871,-0.7148885726928711,-0.6534509658813477,-0.6463769674301147
166,-0.3989822670059037,-0.4880753457546234,-0.396015465259552,-0.39544403553009033
167,-0.11309733552923255,-0.21226650476455688,-0.09525100886821747,-0.10125073790550232
168,0.19477874452256716,0.08709382265806198,0.21966475248336792,0.20838278532028198
169,0.48066367599923837,0.37900376319885254,0.5187984108924866,0.5020184516906738
170,0.7382742735936014,0.6330834627151489,0.77506422996521,0.7543859481811523
171,0.9267698328089891,0.8262784481048584,0.9661339521408081,0.9447383880615234
172,1.0430087609918115,0.9461528062820435,1.0808484554290771,1.0586062669754028
173,1.080707872834889,0.9896073341369629,1.114549994468689,1.094828486442566
174,1.0398671683382215,0.9596973657608032,1.0696765184402466,1.0538303852081299
175,0.9267698328089891,0.8638232946395874,0.9523787498474121,0.9406758546829224
176,0.7539822368615503,0.7138321399688721,0.773619532585144,0.7661951780319214
177,0.5372123437638546,0.5260481834411621,0.5500962734222412,0.546457052230835
178,0.29530970943744056,0.31962651014328003,0.30257800221443176,0.3021743595600128
