sample,measured_angle,simple_narx_simulation,advanced_lstm_simulation
0,0.3895574890451343,0.3895574890451343,0.3895574890451343
1,0.5277875658030853,0.5277875658030853,0.5277875658030853
2,0.6000441968356505,0.6000441968356505,0.6000441968356505
3,0.6000441968356505,0.6000441968356505,0.6000441968356505
4,0.5372123437638546,0.5372123437638546,0.5372123437638546
5,0.4209734155810323,0.4209734155810323,0.4209734155810323
6,0.2670353755551324,0.2670353755551324,0.2670353755551324
7,0.10681415022205297,0.10681415022205297,0.10681415022205297
8,-0.053407075111026485,-0.053407075111026485,-0.053407075111026485
9,-0.18849555921538758,-0.18849555921538758,-0.18849555921538758
10,-0.2796017461694916,-0.2796017461694916,-0.2796017461694916
11,-0.3204424506661589,-0.3204424506661589,-0.3204424506661589
12,-0.31101767270538955,-0.31101767270538955,-0.31101767270538955
13,-0.257610597594363,-0.257610597594363,-0.257610597594363
14,-0.16964600329384882,-0.16964600329384882,-0.16964600329384882
15,-0.06283185307179587,-0.06283185307179587,-0.06283185307179587
16,0.053407075111026485,0.053407075111026485,0.053407075111026485
17,0.16336281798666927,0.16336281798666927,0.16336281798666927
18,0.25446900494077324,0.25446900494077324,0.25446900494077324
19,0.3204424506661589,0.3204424506661589,0.3204424506661589
20,0.35499996985564664,0.35499996985564664,0.35499996985564664
21,0.3612831551628262,0.3612831551628262,0.3612831551628262
22,0.3424335992412874,0.3424335992412874,0.3424335992412874
23,0.3078760800517997,0.3078760800517997,0.3078760800517997
24,0.26389378290154264,0.26389378290154264,0.26389378290154264
25,0.21362830044410594,0.21362830044410594,0.21362830044410594
26,0.16022122533307945,0.16022122533307945,0.16022122533307945
27,0.10367255756846318,0.10367255756846318,0.10367255756846318
28,0.05026548245743669,0.05026548245743669,0.05026548245743669
29,-0.006283185307179587,-0.006283185307179587,-0.006283185307179587
30,-0.06597344572538566,-0.06597344572538566,-0.06597344572538566
31,-0.1288052987971815,-0.1288052987971815,-0.1288052987971815
32,-0.19792033717615698,-0.19792033717615698,-0.19792033717615698
33,-0.2607521902479529,-0.2607521902479529,-0.2607521902479529
34,-0.31730085801256913,-0.31730085801256913,-0.31730085801256913
35,-0.3612831551628262,-0.3612831551628262,-0.3612831551628262
36,-0.3895574890451343,-0.3895574890451343,-0.3895574890451343
37,-0.39269908169872414,-0.39269908169872414,-0.39269908169872414
38,-0.3675663404700058,-0.3675663404700058,-0.3675663404700058
39,-0.3141592653589793,-0.3141592653589793,-0.3141592653589793
40,-0.2324778563656447,-0.2324778563656447,-0.2324778563656447
41,-0.11938052083641214,-0.11938052083641214,-0.11938052083641214
42,0.01884955592153876,0.01884955592153876,0.01884955592153876
43,0.1759291886010284,0.1759291886010284,0.1759291886010284
44,0.3361504139341079,0.3361504139341079,0.3361504139341079
45,0.48694686130641796,0.48694686130641796,0.48694686130641796
46,0.6220353454107791,0.6220353454107791,0.6220353454107791
47,0.7288494956328321,0.7288494956328321,0.7288494956328321
48,0.8011061266653973,0.8011061266653973,0.8011061266653973
49,0.835663645854885,0.835663645854885,0.835663645854885
50,0.8325220532012952,0.8359276056289673,0.8324466943740845
51,0.7979645340118074,0.7971467971801758,0.7983322143554688
52,0.7319910882864218,0.7287663221359253,0.7355539798736572
53,0.6440264939859076,0.637036919593811,0.6479803323745728
54,0.5309291584566751,0.5280414819717407,0.540184497833252
55,0.41154863762026295,0.40690794587135315,0.41660618782043457
56,0.27646015351590175,0.2758605480194092,0.281288743019104
57,0.1350884841043611,0.1386348009109497,0.13810372352600098
